full_name,division,subdivision,conference_id,conference_name,reclass_year,reclass_division,reclass_subdivision,private,historically_black,region,state,simple_name,Latitude,Longitude
"Rutgers, The State University of New Jersey, New Brunswick",1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,NJ,Rutgers,40.5008405,-74.44741739999999
Sam Houston State University,1,FBS,24312,Conference USA,,,,N,N,South Region,TX,Sam Houston,30.7135813,-95.547276
San Diego State University,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,CA,San Diego State,32.7774047,-117.0714068
San Jose State University,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,CA,San Jose State,37.3351874,-121.8810715
University of South Alabama,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,AL,South Alabama,30.6959406,-88.184236
"University of South Carolina, Columbia",1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,SC,South Carolina,33.9937575,-81.0299186
University of South Florida,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,FL,South Florida,28.0587031,-82.41385389999999
University of Southern California,1,FBS,905,Pac-12 Conference,,,,Y,N,Unassigned,CA,Southern California,34.0223519,-118.285117
Southern Methodist University,1,FBS,823,American Athletic Conference,,,,Y,N,Unassigned,TX,Southern Methodist,32.8412178,-96.78451749999999
The University of Southern Mississippi,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,MS,Southern Mississippi,31.3298668,-89.33345349999999
Stanford University,1,FBS,905,Pac-12 Conference,,,,Y,N,Unassigned,CA,Stanford,37.42766,-122.17006
Syracuse University,1,FBS,821,Atlantic Coast Conference,,,,Y,N,Unassigned,NY,Syracuse,43.0386502,-76.1336922
Temple University,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,PA,Temple,39.9811911,-75.1553563
"University of Tennessee, Knoxville",1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,TN,Tennessee,35.9544013,-83.92945639999999
"Texas A&M University, College Station",1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,TX,Texas A&M,30.6186806,-96.33646549999999
Texas Christian University,1,FBS,25354,Big 12 Conference,,,,Y,N,Unassigned,TX,Texas Christian,32.7078531,-97.36280409999999
Texas State University,1,FBS,818,Sun Belt Conference,,,,N,N,West Region,TX,Texas State,29.888411,-97.938351
Texas Tech University,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,TX,Texas Tech,33.5845522,-101.8746483
University of Texas at Austin,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,TX,Texas,30.2849185,-97.7340567
University of Texas at El Paso,1,FBS,24312,Conference USA,,,,N,N,Unassigned,TX,Texas-El Paso,31.7731979,-106.5047208
University of Texas at San Antonio,1,FBS,823,American Athletic Conference,,,,N,N,West Region,TX,Texas-San Antonio,29.4251905,-98.4945922
University of Toledo,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,OH,Toledo,41.6578804,-83.6142374
Troy University,1,FBS,818,Sun Belt Conference,,,,N,N,West Region,AL,Troy,31.80259259999999,-85.9571615
Tulane University,1,FBS,823,American Athletic Conference,,,,Y,N,Unassigned,LA,Tulane,29.9407282,-90.12031669999999
The University of Tulsa,1,FBS,823,American Athletic Conference,,,,Y,N,Unassigned,OK,Tulsa,36.1520526,-95.94607529999999
U.S. Air Force Academy,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,CO,Air Force,38.9983573,-104.8617533
U.S. Military Academy,1,FBS,0,Independent,,,,N,N,Unassigned,NY,Army,41.3889095,-73.95710729999999
U.S. Naval Academy,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,MD,Navy,38.98364830000001,-76.48233499999999
University of Utah,1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,UT,Utah,40.7649368,-111.8421021
Utah State University,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,UT,Utah State,41.745161,-111.8097425
